Frame,Prediction,Confidence,FPS
561,crocodile,0.8332,2.73
562,crocodile,0.829,2.65
563,crocodile,0.8345,2.67
564,crocodile,0.8316,2.09
565,crocodile,0.8413,2.69
566,crocodile,0.839,2.68
567,crocodile,0.8457,2.53
568,crocodile,0.8469,2.69
569,crocodile,0.8527,2.56
570,crocodile,0.8495,2.41
571,crocodile,0.8517,2.66
572,crocodile,0.8546,2.23
573,crocodile,0.8607,2.67
574,crocodile,0.8613,2.39
575,crocodile,0.8705,2.35
576,crocodile,0.8692,2.2
577,crocodile,0.8763,2.67
578,crocodile,0.8788,2.7
579,crocodile,0.8809,2.43
580,crocodile,0.8814,2.21
581,crocodile,0.8849,1.79
582,crocodile,0.8876,3.34
583,crocodile,0.8936,3.23
584,crocodile,0.8913,3.04
585,crocodile,0.8803,3.23
586,crocodile,0.8516,2.96
587,crocodile,0.8446,2.72
588,crocodile,0.8448,2.92
589,crocodile,0.8573,2.93
590,crocodile,0.8582,2.74
591,crocodile,0.8607,2.45
592,crocodile,0.8727,2.08
593,crocodile,0.882,2.56
594,crocodile,0.8851,2.66
595,crocodile,0.887,2.69
596,crocodile,0.8803,2.63
597,crocodile,0.8814,2.67
598,crocodile,0.8747,2.66
599,crocodile,0.8764,2.62
600,crocodile,0.8779,2.68
601,crocodile,0.875,2.61
602,crocodile,0.8724,2.44
603,crocodile,0.8781,2.44
604,crocodile,0.8783,2.22
605,crocodile,0.8809,2.63
606,crocodile,0.8583,2.24
607,crocodile,0.8442,2.31
608,crocodile,0.8262,2.65
609,crocodile,0.8372,2.47
610,crocodile,0.844,2.29
611,crocodile,0.8333,2.27
612,crocodile,0.8349,2.28
613,crocodile,0.853,2.22
614,crocodile,0.8375,2.71
615,crocodile,0.8459,2.33
616,crocodile,0.8352,2.66
617,crocodile,0.8319,2.64
618,crocodile,0.8264,2.69
619,crocodile,0.832,2.64
620,crocodile,0.83,2.68
621,crocodile,0.8294,2.63
622,crocodile,0.8138,2.66
623,crocodile,0.8248,2.6
624,crocodile,0.8371,2.69
625,crocodile,0.8355,2.67
626,crocodile,0.8372,2.37
627,crocodile,0.8327,2.14
